实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
VTB BANK GEORGIA JOINT STOCK COMPANY,组织,US-SSI,制裁,别名: JSC VTB BANK GEORGIA; VTB Bank Georgia JSC,ge,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18726,us_ofac_cons,2026-06-19
"GAZPROM GAZOBEZOPASNOST, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM GAZOBEZOPASNOST'; GAZPROM GAZOBEZOPASNOST,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19637,us_ofac_cons,2026-06-19
Jamal Ismail ISKEIK,个人,US-NS-PLC,制裁,,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9664,us_ofac_cons,2026-06-19
OTKRYTOE AKTSIONERNOE OBSHCHESTVO KONTSERN AVIATSIONNOE OBORUDOVANIE,组织,US-SSI,制裁,"别名: AVIATION EQUIPMENT CONCERN OPEN JOINT STOCK COMPANY; JOINT STOCK COMPANY CONCERN OF AVIATION EQUIPMENT; KONTSERN AVIATSIONNOE OBORUDOVANIE, OAO",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18773,us_ofac_cons,2026-06-19
OTKRYTOE AKTSIONERNOE OBSHCHESTVO KALINOVSKI KHIMICHESKI ZAVOD,组织,US-SSI,制裁,别名: KALINOVO CHEMICAL PLANT OPEN JOINT STOCK COMPANY; OPEN JOINT-STOCK COMPANY KALINOVSKIY KHIMICHESKIY ZAVOD,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18814,us_ofac_cons,2026-06-19
China Aerospace Science and Industry Corporation Limited,组织,US-NS-CMIC,制裁,别名: CASIC; China Aerospace Science and Industry Corporation,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30928,us_ofac_cons,2026-06-19
PSKOVNEFTEPRODUKT OOO,组织,US-SSI,制裁,别名: Limited Liability Company PSKOVNEFTEPRODUCT; LIMITED LIABILITY COMPANY MARKETING ASSOCIATION PSKOVNEFTEPRODUCT,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23559,us_ofac_cons,2026-06-19
"NOVATEK SEVERO-ZAPAD, OOO",组织,US-SSI,制裁,别名: LIMITED LIABILITY COMPANY 'NOVATEK NORTH-WEST'; OOO NOVATEK SEVERO-ZAPAD; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'NOVATEK SEVERO-ZAPAD',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20678,us_ofac_cons,2026-06-19
"GAZPROM TRANSGAZ SAMARA, OOO",组织,US-SSI,制裁,别名: GAZPROM TRANSGAZ SAMARA; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TRANSGAZ SAMARA',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19674,us_ofac_cons,2026-06-19
"Huawei Investment & Holding Co., Ltd.",组织,US-NS-CMIC,制裁,"别名: Huawei Investment and Holding Co., Ltd.",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32087,us_ofac_cons,2026-06-19
Avic Shenyang Aircraft Company Limited,组织,US-NS-CMIC,制裁,别名: Shenyang Aircraft Co. Ltd.,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32056,us_ofac_cons,2026-06-19
"DALTRANSGAZ, OAO",组织,US-SSI,制裁,别名: OTKRYTOE AKTSIONERNOE OBSHCHESTVO 'DALTRANSGAZ'; DALTRANSGAZ,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19688,us_ofac_cons,2026-06-19
"TRANSNEFT-DRUZHBA, AO",组织,US-SSI,制裁,"别名: AKTSIONERNOE OBSHCHESTVO 'TRANSNEFT - DRUZHBA'; OPEN JOINT-STOCK COMPANY ""OIL TRUNK PIPELINES 'DRUZHBA'""; JSC 'DRUZHBA'",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22391,us_ofac_cons,2026-06-19
"China South Industries Group Co., Ltd.",组织,US-NS-CMIC,制裁,"别名: China South Industries Group Co., Ltd.",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30933,us_ofac_cons,2026-06-19
"STEPNYANSKI ELEVATOR, OAO",组织,US-SSI,制裁,别名: OPEN JOINT STOCK COMPANY 'Stepnyansiky Elevator'; OAO 'STEPNYANSKI ELEVATOR'; OTKRYTOE AKTSIONERNOE OBSHCHESTVO 'STEPNYANSKI ELEVATOR',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20672,us_ofac_cons,2026-06-19
LIMITED LIABILITY COMPANY SBERBANK FINANCIAL COMPANY,组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU FINANSOVAYA KOMPANIYA SBERBANKA; SBERBANK-FINANS OOO; SBERBANK FINANCE COMPANY LIMITED LIABILITY COMPANY,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18744,us_ofac_cons,2026-06-19
"KAMCHATGAZPROM, OAO",组织,US-SSI,制裁,别名: OTKRYTOE AKTSIONERNOE OBSHCHESTVO 'KAMCHATGAZPROM'; KAMCHATGAZPROM,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19687,us_ofac_cons,2026-06-19
"GAZPROM PERERABOTKA, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM PERERABOTKA'; GAZPROM PERERABOTKA,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19645,us_ofac_cons,2026-06-19
"Baotou Beifang Chuangye Co., Ltd.",组织,US-NS-CMIC,制裁,别名: FIRMACO,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32078,us_ofac_cons,2026-06-19
Fadel HAMDAN,个人,US-NS-PLC,制裁,别名: Fadel Mohammad Saleh HAMDAN,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9683,us_ofac_cons,2026-06-19
"GAZPROM GAZNADZOR, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM GAZNADZOR'; GAZPROM GAZNADZOR,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19650,us_ofac_cons,2026-06-19
"NOVATEK-YARSALENEFTEGAZ, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'NOVATEK-YARSALENEFTEGAZ',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20684,us_ofac_cons,2026-06-19
"NOVATEK-PERM, OOO",组织,US-SSI,制裁,别名: OOO 'NOVATEK-PERM'; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'NOVATEK-PERM',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20681,us_ofac_cons,2026-06-19
Открытое Акционерное Общество Российские Железные Дороги,组织,US-NS-MBS,制裁,别名: ОАО Российские Железные Дороги; Russian Railways JSC; JSC Russian Railways,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=34736,us_ofac_cons,2026-06-19
Hangzhou Hikvision Digital Technology,组织,US-NS-CMIC,制裁,别名: Hangzhou Hikvision Digital Technology; Hikvision,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30946,us_ofac_cons,2026-06-19
BANK VTB KAZAKHSTAN JOINT STOCK COMPANY,组织,US-SSI,制裁,别名: Bank VTB Kazakhstan JSC; Subsidiary JSC Bank VTB Kazakhstan; Joint Stock Company VTB Bank Kazakhstan,kz,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18723,us_ofac_cons,2026-06-19
Mariam Mahmoud SALEH,个人,US-NS-PLC,制裁,,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9650,us_ofac_cons,2026-06-19
Netposa Technologies Limited,组织,US-NS-CMIC,制裁,"别名: NetPosa; NetPosa Technologies, Ltd.",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=33895,us_ofac_cons,2026-06-19
VTB REAL ESTATE LIMITED LIABILITY COMPANY,组织,US-SSI,制裁,"别名: VTB REAL ESTATE, LLC; VTB NEDVIZHIMOST, OOO",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18735,us_ofac_cons,2026-06-19
SURGUTMEBEL OOO,组织,US-SSI,制裁,"别名: SURGUTMEBEL, LLC; LLC SYRGUTMEBEL; LLC SURGUTMEBEL",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23554,us_ofac_cons,2026-06-19
"GAZPROM DOBYCHA NOYABRSK, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM DOBYCHA NOYABRSK'; GAZPROM DOBYCHA NOYABRSK,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19636,us_ofac_cons,2026-06-19
"GAZPROM KOMPLEKTATSIYA, OOO",组织,US-SSI,制裁,别名: GAZPROM KOMPLEKTATSIYA; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM KOMPLEKTATSIYA',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19652,us_ofac_cons,2026-06-19
AUTOMATED BANKING TECHNOLOGIES CJSC,组织,US-SSI,制裁,别名: ZAO 'AVTOMATIZIROVANNIY BANKOVSKIY TECHNOLOGII'; JOINT STOCK COMPANY 'AVTOMATIZIROVANNYYEE BANKOVSKIYE TEKHNOLOGII'; CJSC 'AUTOMATED BANKING TECHNOLOGIES',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20009,us_ofac_cons,2026-06-19
"KRYLOVSKI ELEVATOR, OAO",组织,US-SSI,制裁,别名: OAO 'KRYLOVSKI ELEVATOR'; OPEN JOINT STOCK COMPANY 'Krylovskiy Elevator'; OTKRYTOE AKTSIONERNOE OBSHCHESTVO 'KRYLOVSKI ELVATOR',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20670,us_ofac_cons,2026-06-19
"DSD, OOO",组织,US-SSI,制裁,别名: LIMITED LIABILITY COMPANY 'FAR EAST CONSTRUCTION DIRECTION'; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'DALNEVOSTOCHNAYA STROITELNAYA DIREKTSIYA',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22387,us_ofac_cons,2026-06-19
"China Spacesat Co., Ltd.",组织,US-NS-CMIC,制裁,别名: China Spacesat,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30934,us_ofac_cons,2026-06-19
ULYANOVSKI GIPROAVIAPROM OAO,组织,US-SSI,制裁,别名: ULYANOVSKIY GIPROAVIAPROM OJSC; OPEN JOINT-STOCK COMPANY ULYANOVSKIY GOSUDARSTVENNIY PROYEKTNO-KONSTRUKTORSKIY INSTITUT AVIATSIONNOY PROMYSHLENNOSTI; ULYANOVSK STATE DESIGN AND ENGINEERING INSTITUTE FOR AVIATION INDUSTRY OPEN JOINT STOCK COMPANY,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18818,us_ofac_cons,2026-06-19
PUBLIC JOINT STOCK COMPANY ROSTELECOM,组织,US-NS-MBS,制裁,别名: PUBLICHNOE AKTSIONERNOY OBSHCHESTVO ROSTELEKOM; PUBLICHNOE AKTSIONERNOE OBSHCHESTVO ROSTELEKOM; ROSTELEKOM PJSC,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=34556,us_ofac_cons,2026-06-19
Nayef RJOUB,个人,US-NS-PLC,制裁,别名: Naif Mahmod RAJOUB,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9671,us_ofac_cons,2026-06-19
"GAZPROM TRANSGAZ SURGUT, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TRANSGAZ SURGUT'; GAZPROM TRANSGAZ SURGUT,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19648,us_ofac_cons,2026-06-19
"TRANSNEFTEPRODUKT, PAO",组织,US-SSI,制裁,别名: JSC 'TRANSNEFTEPRODUKT'; OPEN JOINT-STOCK COMPANY 'TRANSNEFTEPRODUKT'; TRANSNEFTEPRODUCT JOINT-STOCK CO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22390,us_ofac_cons,2026-06-19
"GAZPROM TRANSGAZ STAVROPOL, OOO",组织,US-SSI,制裁,别名: GAZPROM TRANSGAZ STAVROPOL; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TRANSGAZ STAVROPOL',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19472,us_ofac_cons,2026-06-19
China Telecom Corporation Limited.Co.Ltd,组织,US-NS-CMIC,制裁,"别名: CHINA TELECOM CORP LTD; CHINA TELECOM; CHINA TELECOM CO., LTD",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30882,us_ofac_cons,2026-06-19
GPB INVEST OOO,组织,US-SSI,制裁,别名: LIMITED LIABILITY COMPANY GAZPROMBANK-INVEST,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20300,us_ofac_cons,2026-06-19
AKTSIONERNOE OBSHCHESTVO NOVOSIBIRSKI ZAVOD POLUPROVODNIKOVYKH PRIBOROV S OKB,组织,US-SSI,制裁,"别名: NZPP S OKB OJSC; NZP POLUPROVODNIKOVYKH PRIBOROV S OKB, AO; NOVOSIBIRSK FACTORY OF SEMICONDUCTOR DEVICES WITH THE SPECIAL DESIGN CENTRE PUBLIK JOINT STOCK COMPANY",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18815,us_ofac_cons,2026-06-19
SVIAZ-BANK,组织,US-SSI,制裁,别名: INTERREGIONAL BANK FOR SETTLEMENTS OF THE TELECOMMUNICATIONS AND POSTAL SERVICES; SVIAZ-BANK AKB PAO; MEZHREGIONALNY KOMMERCHESKI BANK RAZVITIYA SVYAZI I INFORMATIKI (PUBLICHNOE AKTSIONERNOE OBSHCHESTVO),ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18285,us_ofac_cons,2026-06-19
GPB-FACTORING OOO,组织,US-SSI,制裁,别名: LIMITED LIABILITY COMPANY GPB-FAKTORING,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20299,us_ofac_cons,2026-06-19
Khamis NAJJAR,个人,US-NS-PLC,制裁,别名: Khamis Jawdat Khamis NAJJAR,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9698,us_ofac_cons,2026-06-19
OTKRYTOE AKTSIONERNOE OBSHCHESTVO RT-STANKOINSTRUMENT,组织,US-SSI,制裁,"别名: RT-STANKOINSTRUMENT, OAO; OJSC STANKOINSTRUMENT; RT-STANKOINSTRUMENT",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18775,us_ofac_cons,2026-06-19
NPK Tekhmash OAO,组织,US-SSI,制裁,别名: SCIENTIFIC INDUSTRIAL CONCERN MANUFACTURING ENGINEERING OJSC; Joint Stock Company Scientific Industrial Concern Manufacturing Engineering; AKTSIONERNOE OBSHCHESTVO NAUCHNO-PROIZVODSTVENNY KONTSERN TEKHNOLOGII MASHINOSTROENIYA,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18772,us_ofac_cons,2026-06-19
OTKRYTOE AKTSIONERNOE OBSHCHESTVO NOVO-VYATKA,组织,US-SSI,制裁,别名: NOVO VYATKA OPEN JOINT STOCK COMPANY,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18795,us_ofac_cons,2026-06-19
"NOVATEK-KOSTROMA, OOO",组织,US-SSI,制裁,别名: OOO NOVATEK-KOSTROMA; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'NOVATEK-KOSTROMA',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20685,us_ofac_cons,2026-06-19
Khalil AL-HAYYEH,个人,US-NS-PLC,制裁,别名: Khalil Esmaeel ELHYYA,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9706,us_ofac_cons,2026-06-19
Ahmad 'Abd al-Aziz MUBARAK,个人,US-NS-PLC,制裁,别名: Ahmad Abdel Aziz Saleh MUBARAK,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9685,us_ofac_cons,2026-06-19
"ALBASHSKI ELEVATOR, OAO",组织,US-SSI,制裁,别名: OTKRYTOE AKTSIONERNOE OBSHCHESTVO 'ALBASHSKI ELEVATOR'; OAO 'ALBASHSKI ELEVATOR'; OPEN JOINT STOCK COMPANY 'ALBASHSKIY ELEVATOR',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20673,us_ofac_cons,2026-06-19
China State Shipbuilding Corporation,组织,US-NS-CMIC,制裁,别名: China Shipbuilding Corporation; China State Shipbuilding Corporation; China State Shipbuilding Corporation Co. Ltd,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30938,us_ofac_cons,2026-06-19
Khaled Abed YAHIA,个人,US-NS-PLC,制裁,别名: Khaled Said YEHIA,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9688,us_ofac_cons,2026-06-19
NPF VTB PENSION FUND JOINT STOCK COMPANY,组织,US-SSI,制裁,"别名: NPF VTB Pension Fund JSC; NONPROFIT ORGANIZATION NON-STATE PENSION FUND VTB PENSION FUND; NPF VTB PENSIONNY FOND, AO",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18734,us_ofac_cons,2026-06-19
Yitu Limited,组织,US-NS-CMIC,制裁,,ky,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=33893,us_ofac_cons,2026-06-19
"AEROSPACE CH UAV CO., LTD",组织,US-NS-CMIC,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32084,us_ofac_cons,2026-06-19
NOVGORODNEFTEPRODUCT OOO,组织,US-SSI,制裁,别名: LIMITED LIABILITY COMPANY NOVGORODNEFTEPRODUCT; NOVGORODNEFTEPRODUKT LLC,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23562,us_ofac_cons,2026-06-19
"LADOZHSKI ELEVATOR, OAO",组织,US-SSI,制裁,别名: OAO 'LADOZHSKI ELEVATOR'; OTKRYTOE AKTSIONERNOE OBSHCHESTVO 'LADOZHSKI ELEVATOR'; OPEN JOINT STOCK COMPANY 'Ladogskiy Elevator',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20665,us_ofac_cons,2026-06-19
"NOVATEK-CHELYABINSK, OOO",组织,US-SSI,制裁,别名: OOO NOVATEK-CHELYABINSK; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'NOVATEK- CHELYABINSK',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20683,us_ofac_cons,2026-06-19
ANHUI GREATWALL MILITARY INDUSTRY COMPANY LIMITED,组织,US-NS-CMIC,制裁,"别名: Anhui Greatwall Military Industry Co., Ltd.; GreatWall Military Industry; GreatWall Military",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32028,us_ofac_cons,2026-06-19
CENTREX EUROPE ENERGY AND GAS AG,组织,US-SSI,制裁,别名: CENTREX EUROPE ENERGY & GAS AG,at,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20313,us_ofac_cons,2026-06-19
Jamileh Abdullah AL-SHANTI,个人,US-NS-PLC,制裁,别名: Jameela Abdallah EL-SHANTI; Jamila Abed Allah AL SHANTEE,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9641,us_ofac_cons,2026-06-19
CREDIT URAL BANK,组织,US-SSI,制裁,别名: KREDIT URAL BANK OTKRYTOE AKTSIONERNOE OBSHCHESTVO; CREDIT URAL BANK JOINT-STOCK COMPANY; BANK KUB AO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20294,us_ofac_cons,2026-06-19
"ROVNENSKI ELEVATOR, OAO",组织,US-SSI,制裁,别名: OTKRYTOE AKTSIONERNOE OBSHCHESTVO 'ROVNENSKI ELEVATOR'; OPEN JOINT STOCK COMPANY 'Rovnenskiy Elevator'; OAO 'ROVNENSKI ELEVATOR',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20671,us_ofac_cons,2026-06-19
URALMASHZAVOD OAO,组织,US-SSI,制裁,别名: URALMASHPLANT,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20309,us_ofac_cons,2026-06-19
Public Joint Stock Company Gazprom,组织,US-NS-MBS; US-SSI,制裁,别名: PJSC Gazprom; Gazprom; Gazprom PAO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=17250,us_ofac_cons,2026-06-19
"RIELTSITI, OOO",组织,US-SSI,制裁,别名: LIMITED LIABILITY COMPANY 'RIELTSITI'; OOO 'REALTCITY'; OBSHCHESTVO S GRANICHENNOI OTVETSTVENNOSTYU 'RIELTSITI',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20005,us_ofac_cons,2026-06-19
China National Nuclear Corporation,组织,US-NS-CMIC,制裁,别名: China National Nuclear Corp,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30954,us_ofac_cons,2026-06-19
Ayman Hussein DARAGHMEH,个人,US-NS-PLC,制裁,,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9658,us_ofac_cons,2026-06-19
"TRANSNEFT-TSENTRALNAYA SIBIR, AO",组织,US-SSI,制裁,别名: AKTSIONERNOE OBSHCHESTVO 'TRANSNEFT - TSENTRALNAYA SIBIR'; JSC 'TSENTRSIBNEFTEPROVOD'; OPEN JOINT-STOCK COMPANY 'OIL TRUNK PIPELINES OF CENTRAL SIBERIA',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22395,us_ofac_cons,2026-06-19
FEDERAL CENTER FOR PROJECT FINANCE,组织,US-SSI,制裁,"别名: FTSPF, OAO; OAO FEDERALNY TSENTR PROEKTNOGO FINANSIROVANIYA",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18275,us_ofac_cons,2026-06-19
Proven Honour Capital Ltd,组织,US-NS-CMIC,制裁,别名: Proven Honour Capital Ltd; Proven Honour,vg,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32091,us_ofac_cons,2026-06-19
Myanma Oil and Gas Enterprise,组织,US-NS-MBS,制裁,,mm,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=46072,us_ofac_cons,2026-06-19
OTKRYTOE AKTSIONERNOE OBSHCHESTVO NOVOSIBIRSKOE PROIZVODSTVENNOE OBEDINENIE LUCH,组织,US-SSI,制裁,"别名: NPO LUCH, OAO; JOINT STOCK COMPANY NOVOSIBIRSK PRODUCTION AMALGAMATION LUCH",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18810,us_ofac_cons,2026-06-19
KRIOGENMASH OAO,组织,US-SSI,制裁,别名: CRYOGENMASH; OPEN JOINT-STOCK COMPANY KRIOGENNOGO MASHINOSTROYENIA; Publichnoe Aktsionernoe Obschestvo Kriogennogo Mashinostroeniya,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20306,us_ofac_cons,2026-06-19
"HUAWEI TECHNOLOGIES CO., LTD.",组织,US-NS-CMIC,制裁,别名: Huawei Investment & Holding Co Ltd,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30947,us_ofac_cons,2026-06-19
Husni Bourini YASIN,个人,US-NS-PLC,制裁,别名: Husni Mohammad Bourini YASIN,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9679,us_ofac_cons,2026-06-19
GPB GLOBAL RESOURCES BV,组织,US-SSI,制裁,,nl,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20316,us_ofac_cons,2026-06-19
CHINA AVIONICS SYSTEMS COMPANY LIMITED,组织,US-NS-CMIC,制裁,"别名: AVIC AVIONICS; China Avionics Systems Co., Ltd",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32090,us_ofac_cons,2026-06-19
Joint Stock Company Russian Agricultural Bank,组织,US-NS-MBS; US-SSI,制裁,别名: Russian Agricultural Bank Open Joint Stock Company; Russian Agricultural Bank; Rosselkhozbank,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=17014,us_ofac_cons,2026-06-19
"GAZPROM TRANSGAZ SANKT-PETERBURG, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TRANSGAZ SANKT-PETERBURG'; GAZPROM TRANSGAZ SAINT PETERSBURG,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19471,us_ofac_cons,2026-06-19
CHINA GENERAL NUCLEAR POWER CORPORATION,组织,US-NS-CMIC,制裁,别名: China General Nuclear Power Corp,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30937,us_ofac_cons,2026-06-19
China National Offshore Oil Corporation,组织,US-NS-CMIC,制裁,别名: China National Offshore Oil Corp.; CNOOC,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30956,us_ofac_cons,2026-06-19
Azzam SALHAB,个人,US-NS-PLC,制裁,别名: Azzam No'man Abdel Rahman SALHAB TAMIMI; Azzam Numan Rahman SALHAB,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9669,us_ofac_cons,2026-06-19
OTKRYTOE AKTSIONERNOE OBSHCHESTVO NAUCHNO-PROIZVODSTVENNOE OBEDINENIE SPLAV,组织,US-SSI,制裁,"别名: SPLAV SCIENTIFIC PRODUCTION ASSOCIATION OPEN JOINT STOCK COMPANY; OPEN JOINT-STOCK COMPANY NAUCHNO-PROIZVODSTVENNOYE OBYEDINENIYE SPLAV; NPO SPLAV, OAO",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18811,us_ofac_cons,2026-06-19
Abdul Jaber Mustafa FUQAHA,个人,US-NS-PLC,制裁,,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9667,us_ofac_cons,2026-06-19
China Aerospace Science and Technology Corporation,组织,US-NS-CMIC,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30929,us_ofac_cons,2026-06-19
Ibrahim ABU SALEM,个人,US-NS-PLC,制裁,别名: Ibrahim Said Hasan ABOU SALEM,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9693,us_ofac_cons,2026-06-19
JSC VEB.DV,组织,US-SSI,制裁,别名: AO VEB.DV,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18273,us_ofac_cons,2026-06-19
"Cloudwalk Technology Co., Ltd.",组织,US-NS-CMIC,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=33112,us_ofac_cons,2026-06-19
Министерство Финансов Российской Федерации,组织,US-NS-MBS,制裁,,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=31694,us_ofac_cons,2026-06-19
"GAZPROM TRANSGAZ SARATOV, OOO",组织,US-SSI,制裁,别名: GAZPROM TRANSGAZ SARATOV; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TRANSGAZ SARATOV',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19634,us_ofac_cons,2026-06-19
Mohammed Faraj AL-GHOUL,个人,US-NS-PLC,制裁,别名: Mohammad Faraj Mahmood ELGHOUL,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9707,us_ofac_cons,2026-06-19
Joint Stock Company Shvabe,组织,US-SSI,制裁,别名: Aktsionernoe Obshchestvo Shvabe; AO Shvabe,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18779,us_ofac_cons,2026-06-19
