实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
Sergey Viktorovich LAVROV,个人,EU-UKR,制裁,别名: Sergej Viktorovitj LAVROV; Sergueï Viktorovich LAVROV,ru,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2022.053.01.0001.01.ENG&toc=OJ%3AL%3A2022%3A053%3ATOC,eu_sanctions,2026-06-19
Gladys DEL VALLE REQUENA,个人,EU-VEN,制裁,,ve,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022R2194,eu_sanctions,2026-06-19
RADOVAN VISKOVIC,个人,,制裁,,,,eu_sanctions,2026-06-19
Abbas JAFARI-DOLATABADI,个人,EU-IRN,制裁,,ir,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=1400,eu_sanctions,2026-06-19
Lom-ali Butaev,个人,EU-TAQA-EUAQ; UN-SCISIL,制裁,别名: Doku Chamatowicz Umarow; Lom-ali Butaev; Lom-ali Butayev,ru,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=3150,eu_sanctions,2026-06-19
Gorka Palacios Alday,个人,,制裁,别名: Горка Паласиос Алдай,es,https://www.oenb.at/dam/jcr:6b2dee86-deab-4fba-a7aa-ae27452999ec/Kundmachung%20DL%202_2002%20der%20Oesterreichischen%20Nationalbank.pdf,eu_sanctions,2026-06-19
Nikolaj Andrejevitj ZJURAVLJOV,个人,EU-UKR,制裁,别名: Nikolaj Andrejevitj ZJURAVLJOV,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022R1529,eu_sanctions,2026-06-19
Игор Костюков,个人,EU-CHEM; EU-CYB,制裁,别名: Игор Костюков; Игорь Олегович КОСТЮКОВ; Igor Kosťukov,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=3204,eu_sanctions,2026-06-19
Indira Maira ALFONZO IZAGUIRRE,个人,EU-VEN,制裁,,ve,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022R2194,eu_sanctions,2026-06-19
Yelena Andreyevna VTORYGINA,个人,EU-UKR,制裁,别名: Jelena Andrejevna VTORYGINA,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2022.053.01.0001.01.ENG&toc=OJ%3AL%3A2022%3A053%3ATOC,eu_sanctions,2026-06-19
